Conference Name;Corrected Conference Names;TRIMED Names
ISPE International Conference on Concurrent Engineering;ISPE International Conference on Concurrent Engineering;ISPE International Conference on Concurrent Engineering
CIRP Manufacturing Systems Conference;CIRP Conference on Manufacturing Systems ;CIRP Conference on Manufacturing Systems
International Conference Intelligent Robotics and Applications;International Conference on Intelligent Robotics and Applications;International Conference on Intelligent Robotics and Applications
International Conference Interdisciplinarity in Engineering;International Conference on Interdisciplinarity in Engineering;International Conference on Interdisciplinarity in Engineering
International Conference in Through-life Engineering Services;International Through-life Engineering Services Conference;International Through-life Engineering Services Conference
International Conference of DAAAM Baltic Industrial Engineering;International Conference of DAAAM Baltic Industrial Engineering;International Conference of DAAAM Baltic Industrial Engineering
International Conference of Intelligence Computation and Evolutionary Computation;International Conference of Intelligence Computation and Evolutionary Computation;International Conference of Intelligence Computation and Evolutionary Computation
International Conference of Technology, Education and Development;Annual International Technology, Education and Development Conference;Annual International Technology, Education and Development Conference
International Conference on Advanced Design and Manufacture;International Conference on Advanced Design and Manufacture;International Conference on Advanced Design and Manufacture
International Conference on Advanced Design and Manufacturing Engineering;International Conference on Advanced Design and Manufacturing Engineering;International Conference on Advanced Design and Manufacturing Engineering
International Conference on Advanced Engineering Materials and Technology;International Conference on Advanced Engineering Materials and Technology;International Conference on Advanced Engineering Materials and Technology
International Conference on Advanced Logistics and Transport;International Conference on Advanced Logistics and Transport;International Conference on Advanced Logistics and Transport
International Conference on Advanced Nondestructive Evaluation;International Conference on Advanced Nondestructive Evaluation;International Conference on Advanced Nondestructive Evaluation
International Conference on Advances in Materials Science and Information Technologies in Industry;International Conference on Advances in Materials Science and Information Technologies in Industry;International Conference on Advances in Materials Science and Information Technologies in Industry
International Conference on Advances in Materials and Manufacturing;International Conference on Advances in Materials and Manufacturing Processes;International Conference on Advances in Materials and Manufacturing Processes
International Conference on Advances in Product Development and Reliability;International Conference on Advances in Product Development and Reliability;International Conference on Advances in Product Development and Reliability
International Conference on Civil Engineering and Building Materials;International Conference on Civil Engineering and Building Materials;International Conference on Civil Engineering and Building Materials
International Conference on Communications Computing and Control Applications;International Conference on Communications, Computing and Control Applications;International Conference on Communications, Computing and Control Applications
International Conference on Communications, Electronics and Automation Engineering;International Conference on Communications, Electronics and Automation Engineering;International Conference on Communications, Electronics and Automation Engineering
International Conference on Comprehensive Product Realization;International Conference on Comprehensive Product Realization;International Conference on Comprehensive Product Realization
International Conference on Computational Methods;International Conference on Computational Methods;International Conference on Computational Methods
International Conference on Computer Supported Cooperative Work in Design;International Conference on Computer Supported Cooperative Work in Design;International Conference on Computer Supported Cooperative Work in Design
International Conference on Computers and Industrial Engineering;International Conference on Computers and Industrial Engineering;International Conference on Computers and Industrial Engineering
International Conference on Computing and Convergence Technology;International Conference on Computing and Convergence Technology;International Conference on Computing and Convergence Technology
International Conference on Cooperative Design, Visualization and Engineering;International Conference on Cooperative Design, Visualization and Engineering;International Conference on Cooperative Design, Visualization and Engineering
International Conference on Current Issues in Management of Business and Society Development;International Conference on Current Issues in Management of Business and Society Development;International Conference on Current Issues in Management of Business and Society Development
International Conference on Design and Manufacturing;International Conference on Design and Manufacturing;International Conference on Design and Manufacturing
International Conference on Digital Enterprise Technology;International Conference on Digital Enterprise Technology;International Conference on Digital Enterprise Technology
International Conference on Digital Human Modeling;International Conference on Digital Human Modeling;International Conference on Digital Human Modeling
International Conference on E-Business;International Conference on E-Business;International Conference on E-Business
International Conference on Engineering Computational Technology;International Conference on Engineering Computational Technology;International Conference on Engineering Computational Technology
International Conference on Engineering Design;International Conference on Engineering Design;International Conference on Engineering Design
International Conference on Engineering and Business Education, Innovation and Entrepreneurship;International Conference on Engineering and Business Education, Innovation and Entrepreneurship;International Conference on Engineering and Business Education, Innovation and Entrepreneurship
International Conference on Engineering, Technology and Innovation;International Conference on Engineering, Technology and Innovation;International Conference on Engineering, Technology and Innovation
International Conference on Enterprise Information Systems;International Conference on Enterprise Information Systems;International Conference on Enterprise Information Systems
International Conference on Flexible Automation and Intelligent Manufacturing;International Conference on Flexible Automation and Intelligent Manufacturing;International Conference on Flexible Automation and Intelligent Manufacturing
International Conference on Fracture and Damage Mechanics;International Conference on Fracture and Damage Mechanics;International Conference on Fracture and Damage Mechanics
International Conference on Frontiers of Manufacturing and Design Science;International Conference on Frontiers of Manufacturing and Design Science;International Conference on Frontiers of Manufacturing and Design Science
International Conference on High Performance Computing and Its Applications;International Conference on High Performance Computing;International Conference on High Performance Computing
International Conference on Industrial Control and Electronics Engineering;International Conference on Industrial Control and Electronics Engineering;International Conference on Industrial Control and Electronics Engineering
International Conference on Industrial Engineering and Engineering Management;International Conference on Industrial Engineering and Engineering Management;International Conference on Industrial Engineering and Engineering Management
International Conference on Industrial Engineering and Systems Management;International Conference on Industrial Engineering and Systems Management;International Conference on Industrial Engineering and Systems Management
International Conference on Information Science, Electronics and Electrical Engineering;International Conference on Information Science, Electronics and Electrical Engineering;International Conference on Information Science, Electronics and Electrical Engineering
International Conference on Information Technology Based Higher Education and Training;International Conference on Information Technology Based Higher Education and Training;International Conference on Information Technology Based Higher Education and Training
International Conference on Information Technology and Industrial Engineering;International Conference on Information Technology and Industrial Engineering;International Conference on Information Technology and Industrial Engineering
International Conference on Information Technology for Manufacturing Systems;International Conference on Information Technology for Manufacturing Systems;International Conference on Information Technology for Manufacturing Systems
International Conference on Information and Communication Technologies;International Conference on Information and Communication Technologies;International Conference on Information and Communication Technologies
International Conference on Innovation and Management;International Conference on Innovation and Management;International Conference on Innovation and Management
International Conference on Innovation through Knowledge Transfer;International Conference on Innovation through Knowledge Transfer;International Conference on Innovation through Knowledge Transfer
International Conference on Innovative Computing, Information and Control;International Conference on Innovative Computing, Information and Control;International Conference on Innovative Computing, Information and Control
International Conference on Innovative Manufacturing Engineering;International Conference on Innovative Manufacturing Engineering;International Conference on Innovative Manufacturing Engineering
International Conference on Intelligent Software Methodologies, Tools, and Techniques;International Conference on Intelligent Software Methodologies, Tools, and Techniques;International Conference on Intelligent Software Methodologies, Tools, and Techniques
International Conference on Intelligent Systems - Theories and Applications;International Conference on Intelligent Systems : Theories and Applications;International Conference on Intelligent Systems : Theories and Applications
International Conference on Intelligent Systems Design and Applications;International Conference on Intelligent Systems Design and Applications;International Conference on Intelligent Systems Design and Applications
International Conference on Lean Enterprise Software and Systems;International Conference on Lean Enterprise Software and Systems;International Conference on Lean Enterprise Software and Systems
International Conference on MEMS, NANO and Smart Systems;International Conference on MEMS, NANO and Smart Systems;International Conference on MEMS, NANO and Smart Systems
International Conference on Machine Design and Manufacturing Engineering;International Conference on Machine Design and Manufacturing Engineering;International Conference on Machine Design and Manufacturing Engineering
International Conference on Machine Learning and Cybernetics;International Conference on Machine Learning and Cybernetics;International Conference on Machine Learning and Cybernetics
International Conference on Management;International Conference on Management, Leadership and Governance;International Conference on Management, Leadership and Governance
International Conference on Management Science and Engineering;International Conference on Management Science and Engineering;International Conference on Management Science and Engineering
International Conference on Manufacturing Engineering and Automation;International Conference on Manufacturing Engineering and Automation;International Conference on Manufacturing Engineering and Automation
International Conference on Manufacturing Science and Engineering;International Conference on Manufacturing Science and Engineering;International Conference on Manufacturing Science and Engineering
International Conference on Materials and Products Manufacturing Technology;International Conference on Materials and Products Manufacturing Technology;International Conference on Materials and Products Manufacturing Technology
International Conference on Measurement, Instrumentation and Automation;International Conference on Measurement, Instrumentation and Automation;International Conference on Measurement, Instrumentation and Automation
International Conference on Mechanical Engineering and Materials;International Conference on Mechanical Engineering and Materials;International Conference on Mechanical Engineering and Materials
International Conference on Mechanical Engineering and Mechanics;International Conference on Mechanical Engineering and Mechanics;International Conference on Mechanical Engineering and Mechanics
International Conference on Mechanika;International Conference Mechanika;International Conference Mechanika
International Conference on Mechatronics and Applied Mechanics;International Conference on Mechatronics and Applied Mechanics;International Conference on Mechatronics and Applied Mechanics
International Conference on Mechatronics and Materials Engineering;International Conference on Mechatronics and Materials Engineering;International Conference on Mechatronics and Materials Engineering
International Conference on Modern Technologies, Quality and Innovation;International Conference on Modern Technologies, Quality and Innovation;International Conference on Modern Technologies, Quality and Innovation
International Conference on Practical Aspects of Knowledge Management;International Conference on Practical Aspects of Knowledge Management;International Conference on Practical Aspects of Knowledge Management
International Conference on Processing and Manufacturing of Advanced Materials;International Conference on Processing and Manufacturing of Advanced Materials;International Conference on Processing and Manufacturing of Advanced Materials
International Conference on Product Lifecycle Management PLM05;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM06;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM07;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM08;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM09;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM10;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM11;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM12;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM13;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Product Lifecycle Management PLM14;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
International Conference on Production Research;International Conference on Production Research;International Conference on Production Research
International Conference on Progress of Machining Technology;International Conference on Progress of Machining Technology;International Conference on Progress of Machining Technology
International Conference on Recent Trends in Materials and Mechanical Engineering;International Conference on Recent Trends in Materials and Mechanical Engineering;International Conference on Recent Trends in Materials and Mechanical Engineering
International Conference on Risk Management and Global e-Business;International Conference on Risk Management and Engineering Management;International Conference on Risk Management and Engineering Management
International Conference on Signal Image Technology and Internet Bases Systems;International Conference on Signal-Image Technology & Internet-Bases Systems;International Conference on Signal-Image Technology & Internet-Bases Systems
International Conference on Sustainable Construction Materials and Computer Engineering;International Conference on Sustainable Construction Materials and Computer Engineering;International Conference on Sustainable Construction Materials and Computer Engineering
International Conference on System Simulation and Scientific Computing;International Conference on System Simulation and Scientific Computing;International Conference on System Simulation and Scientific Computing
International Conference on Technology Systems and Management;International Conference on Technology Systems and Management;International Conference on Technology Systems and Management
International Conference on e-Engineering and Digital Enterprise Technology;International Conference on e-Engineering and Digital Enterprise Technology;International Conference on e-Engineering and Digital Enterprise Technology
International Design Conference;International Design Conference;International Design Conference
International Forum on Information Technology and Applications;International Forum on Information Technology and Applications;International Forum on Information Technology and Applications
International Industrial Simulation Conference;International Industrial Simulation Conference;International Industrial Simulation Conference
International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management
International RFID Eurasia Conference,;International RFID Eurasia Conference;International RFID Eurasia Conference
International Scientific Conference on Distance Learning in Applied Informatics;International Scientific Conference on Distance Learning in Applied Informatics;International Scientific Conference on Distance Learning in Applied Informatics
International Symposium of the Danube Adria Association for Automation and Manufacturing;DAAAM International Symposium on Intelligent Manufacturing and  Automation ;DAAAM International Symposium on Intelligent Manufacturing and Automation
